Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2023_emnlp-main_124.tex,0,38,1,15,0,FAILED
2023_emnlp-main_638.tex,0,24,5,5,9,FAILED
2024_emnlp-main_147.tex,0,24,1,1,6,FAILED
2024_emnlp-main_1025.tex,0,27,3,6,45,FAILED
2024_emnlp-main_1026.tex,0,31,1,8,91,FAILED
2024_emnlp-main_1055.tex,0,79,1,59,1,FAILED
2024_emnlp-main_1067.tex,0,24,1,1,4,FAILED
2024_emnlp-main_1069.tex,0,113,1,90,94,FAILED
2024_emnlp-main_1088.tex,0,34,1,11,1,FAILED
2024_emnlp-main_1127.tex,0,28,1,9,12,FAILED
2024_emnlp-main_1156.tex,0,26,1,4,1,FAILED
PrimacyEffectofChatGPT.tex,0,24,1,1,0,FAILED
2024_emnlp-main_156.tex,0,24,1,1,11,FAILED
2024_emnlp-main_228.tex,0,26,1,3,65,FAILED
2024_emnlp-main_238.tex,0,29,38,43,0,FAILED
2024_emnlp-main_260.tex,0,35,1,12,12,FAILED
2024_emnlp-main_293.tex,0,24,1,1,0,FAILED
2024_emnlp-main_302.tex,0,24,1,1,1,FAILED
2024_emnlp-main_324.tex,0,41,1,18,55,FAILED
2024_emnlp-main_336.tex,0,24,1,1,2,FAILED
2024_emnlp-main_339.tex,0,25,1,2,3,FAILED
2024_emnlp-main_362.tex,0,24,1,2,16,FAILED
2024_emnlp-main_431.tex,0,24,1,1,1,FAILED
2024_emnlp-main_445.tex,0,24,1,1,8,FAILED
2024_emnlp-main_508.tex,0,24,1,1,63,FAILED
2024_emnlp-main_524.tex,0,95,1,72,5,FAILED
2024_emnlp-main_553.tex,0,31,1,9,0,FAILED
2024_emnlp-main_614.tex,0,73,1,50,8,FAILED
2024_emnlp-main_635.tex,0,58,1,35,109,FAILED
2024_emnlp-main_663.tex,0,29,1,6,50,FAILED
2024_emnlp-main_672.tex,0,31,1,8,2,FAILED
2024_emnlp-main_701.tex,0,31,1,8,28,FAILED
2024_emnlp-main_704.tex,0,29,1,6,44,FAILED
2024_emnlp-main_730.tex,0,24,1,3,5,FAILED
2024_emnlp-main_733.tex,0,43,1,20,66,TIMEOUT
2024_emnlp-main_767.tex,0,208,1,176,7,FAILED
2024_emnlp-main_773.tex,0,24,1,1,45,FAILED
2024_emnlp-main_830.tex,0,24,1,1,0,FAILED
2024_emnlp-main_831.tex,0,40,1,23,47,FAILED
2024_emnlp-main_869.tex,0,24,1,1,2,FAILED
2024_emnlp-main_882.tex,0,24,1,1,3,FAILED
2024_emnlp-main_888.tex,0,25,2,3,47,FAILED
2024_emnlp-main_915.tex,0,45,5,25,21,FAILED
2024_emnlp-main_924.tex,0,24,1,1,13,FAILED
2024_emnlp-main_942.tex,0,27,104,107,0,FAILED
2024_emnlp-main_991.tex,0,24,2,2,2,FAILED
2024_emnlp-main_1022.tex,0,175,3,156,16,FAILED
T5ModelsForAfricanLanguages.tex,0,24,1,1,68,FAILED
2023_emnlp-main_118.tex,0,24,3,3,5,FAILED
EstablishingTrustworthiness.tex,0,24,1,1,93,FAILED
